ABSOLUTE|絕對的
DINOSAUR|恐龍
DIPLOMA|文憑
DIRECTOR|董事
DISCOVERY|發現
DISEASE|疾病
DIVER|潛水員
DNA|去氧核糖核酸
DOCK|碼頭
DOLPHIN|海豚
DOUBLOON|達布隆金幣
DRAGONFLY|蜻蜓
DRAMA|戲劇
DUNGEON|地牢
DUSK|黃昏
DYNAMIC|動態的
DYNASTIC|王朝的
DYNASTY|朝代
EAGLE|老鷹
ECLIPSE|食
ECOLOGY|生態學
ECONOMY|經濟
EDUCATION|教育
ELECTRICITY|電力
ELECTRON|電子
ELECTRONICS|電子學
ELEMENT|元素
EMOTION|情感
EMPATHY|同理心
EMPEROR|皇帝
EMPIRE|帝國
EMPLOYEE|員工
ENTERPRISE|企業
ENTERTAINMENT|娛樂
ENTROPY|熵
ENVIRONMENT|環境
ENVY|羨慕
EQUATION|方程式
ESSENTIAL|本質的
ETERNITY|永恆
EVIDENCE|證據
EVOLUTION|進化
EXECUTIVE|主管
EXHIBITION|展覽
EXPEDITION|探險
EXPENSE|費用
EXPERIMENT|實驗
FALCON|獵鷹
FASHION|時尚
FAUNA|動物群
FERN|蕨類
FESTIVAL|節日
FICTION|小說
FINANCE|財政
FLAG|旗幟
FLAMINGO|火烈鳥
FLEET|船隊
FLORA|植物群
FOLIAGE|葉子
FOREST|森林
FORMULA|公式
FORTRESS|堡壘
FOSSIL|化石
FOUNTAIN|噴泉
FREIGHTER|貨輪
FREQUENCY|頻率
FRICTION|摩擦力
FRUSTRATION|挫折
FUNDAMENTAL|基礎的
GALAXY|銀河
GALLEON|大型西班牙帆船
GALLERY|畫廊
GALLEY|廚房
GENERATOR|發電機
GENEROSITY|慷慨
GENETICS|遺傳學
GENOME|基因組
GLACIER|冰河
GOLD|黃金
GOURMET|美食家
GRADUATION|畢業
GRATITUDE|感激
GRAVITY|重力
GRIEF|悲痛
GUITAR|吉他
GULL|海鷗
HAPPINESS|幸福
HARBOR|港灣
HARDWARE|硬體
HARMONY|和聲
HARPOON|魚叉
HELICOPTER|直升機
HERALD|使者
HERBIVORE|草食動物
HERITAGE|遺產
HIGHWAY|公路
HOBBY|嗜好
HONESTY|誠實
HOOK|鉤子
HORIZON|地平線
HOSPITALITY|款待
HULL|船體
HURRICANE|颶風
ILLUSION|幻覺
IMAGINATION|想像力
IMMIGRATION|移民
IMMUNITY|免疫力
INCENTIVE|激勵
INDUSTRY|工業
INFINITY|無限
INFLATION|通貨膨脹
INFRASTRUCTURE|基礎設施
INGREDIENT|原料
INNOVATION|創新
INSPIRATION|靈感
INSTINCT|本能
INSTRUMENT|樂器
INSURANCE|保險
INTEGRITY|正直
INTELLECT|智力
INTENSITY|強度
INTERNET|網際網路
INTERSECTION|十字路口
INTUITION|直覺
INVENTION|發明
INVESTMENT|投資
ISLAND|島嶼
ITINERARY|行程
JASMINE|茉莉花
JEALOUSY|嫉妒
JELLYFISH|水母
JOURNAL|期刊
JOURNEY|旅程
JOY|歡樂
JUDGE|法官
JUNGLE|叢林
JUSTICE|正義
KINGDOM|王國
KNIGHT|騎士
KNOT|繩結
KNOWLEDGE|知識
KRAKEN|海怪
LABORATORY|實驗室
LAGOON|潟湖
LANTERN|燈籠
LAVENDER|薰衣草
LAWYER|律師
LEGEND|傳說
LEGISLATION|立法
LEISURE|休閒
LEOPARD|豹
LIGHTHOUSE|燈塔
LIGHTNING|閃電
LITERATURE|文學
LITIGATION|訴訟
LOCOMOTIVE|火車頭
LOYALTY|忠誠
LUGGAGE|行李
MAGAZINE|雜誌
MAGNITUDE|巨大/震級
MAMMAL|哺乳動物
MANAGEMENT|管理
MANAGER|經理
MANSION|豪宅
MAP|地圖
MAPLE|楓樹
MARINA|遊艇港
MARINE|海事
MARINER|海員
MARKETING|行銷
MAROON|棄置荒島
MAST|桅杆
MASTERPIECE|傑作
MATEY|夥伴
MAXIMUM|最大的
MEADOW|草地
MEDICINE|醫學
MEDIEVAL|中世紀的
MELANCHOLY|憂鬱
MELODY|旋律
MEMORY|記憶
MERGER|合併
MERMAID|美人魚
METEOR|流星
METROPOLIS|大都市
MICROSCOPE|顯微鏡
MINIMUM|最小的
MOLECULE|分子
MOMENTUM|動量
MONARCH|君主
MONASTERY|修修道院
MONUMENT|紀念碑
MOSS|苔蘚
MOTIVATION|動機
MOUNTAIN|山脈
MUSEUM|博物館
MUSHROOM|蘑菇
MUSICIAN|音樂家
MUTINY|叛變
MYTH|神話
NAVIGATE|航行
NEBULA|星雲
NEGOTIATION|談判
NEIGHBORHOOD|鄰里
NETWORK|網路
NEUTRON|中子
NOVEL|小說
OAK|橡樹
OASIS|綠洲
OCCUPATION|職業
OCEAN|海洋
OCTOPUS|章魚
OMNIVORE|雜食動物
OPTIMAL|最佳的
OPTIMISM|樂觀
ORBIT|軌道
ORCHESTRA|管弦樂團
ORCHID|蘭花
ORGANISM|生物體
OWL|貓頭鷹
PAGEANT|盛會
PAINTING|畫作
PALACE|宮殿
PALADIN|聖騎士
PANTHER|黑豹
PARADIGM|範例
PARADOX|悖論
PARLEY|談判
PARROT|鸚鵡
PARTNERSHIP|合夥關係
PASSION|激情
PASSPORT|護照
PATCH|眼罩
PATIENCE|耐心
PAVILION|涼亭
PEACOCK|孔雀
PEARL|珍珠
PEGLEG|木腿
PENINSULA|半島
PERCEPTION|感知
PERMANENT|永久的
PERSEVERANCE|堅持不懈
PERSONALITY|個性
PERSPECTIVE|視角
PESSIMISM|悲觀
PETAL|花瓣
PHENOMENON|現象
PHOTOGRAPHY|攝影
PIANO|鋼琴
PILGRIMAGE|朝盛
PINE|松樹
PIRATE|海盜
PLANET|行星
PLANK|跳板
PLANKING|走板
PLATEAU|高原
PLUNDER|掠奪
POETRY|詩歌
POLLUTION|污染
POPULATION|人口
PORT|港口
PREDATOR|捕食者
PRESSURE|壓力
PREY|獵物
PRIVATEER|私掠者
PROCESSOR|處理器
PROFESSION|職業
PROFIT|利潤
PROPELLER|螺旋槳
PROPHECY|預言
PROPORTION|比例
PROTON|質子
PROW|船首
QUARTERMASTER|大副
RADAR|雷達
RAID|突襲
REALITY|現實
REBELLION|叛亂
RECIPE|食譜
RECONNAISSANCE|偵察
RECREATION|消遣
RECYCLING|回收
REEF|礁石
REFRESHMENT|茶點
REGULATION|法規
REINDEER|馴鹿
RELATIVE|相對的
RELIC|遺物
RENAISSANCE|文藝復興
REPTILE|爬行動物
RESEARCH|研究
RESIDENCE|住宅
RESISTANCE|阻力
RESTAURANT|餐廳
REVENUE|收入
REVOLUTION|革命
RHYTHM|節奏
RIVER|河流
ROBOTICS|機器人學
ROCKET|火箭
ROPE|繩索
ROSE|玫瑰
RUDDER|舵
RUM|蘭姆酒
RUMBLE|隆隆聲
RURAL|鄉村的
SAFARI|狩獵旅行
SAIL|帆
SAILOR|水手
SANCTUARY|庇護所
SAND|沙子
SATELLITE|衛星
SCALLYWAG|小混混
SCHEDULE|日程表
SCORPION|蠍子
SCULPTURE|雕塑
SEAGULL|海鷗
SEASHORE|海岸
SEASONS|季節
SEAWEED|海藻
SENSOR|感測器
SEXTANT|六分儀
SHARK|鯊魚
SHELL|貝殼
SHIELD|盾牌
SHIP|船
SHIPMATE|船友
SHORE|岸邊
SHRINE|神龕
SIEGE|圍攻
SIMPLE|簡單的
SIREN|海妖
SKYSCRAPER|摩天大樓
SLOOP|單桅帆船
SLOSH|溅水
SMUGGLE|走私
SOCIETY|社會
SOFTWARE|軟體
SONAR|聲納
SORCERER|魔術師
SORROW|悲傷
SOUVENIR|紀念品
SOVEREIGN|主權者
SPACESHIP|太空船
SPECTRUM|光譜
SPLASH|濺起水花
SQUARE|廣場
SQUIRREL|松鼠
STALLION|公馬
STATIC|靜態的
STOCKS|股票
STORM|暴風雨
STRATEGY|策略
STRATOSPHERE|平流層
SUBMARINE|潛水艇
SUBURB|郊區
SUBWAY|地鐵
SUNFLOWER|向日葵
SURGERY|手術
SUSTAINABILITY|永續性
SWAB|拖把
SWAMP|沼澤
SWAN|天鵝
SWASHBUCKLE|揮刀戰鬥
SWORD|劍
SYMMETRY|對稱
SYMPATHY|同情心
SYMPHONY|交響樂
SYMPTOM|症狀
SYNTHESIS|綜合
TACK|航向
TARIFF|關稅
TAXATION|稅收
TELESCOPE|望遠鏡
TELEVISION|電視
TEMPERAMENT|氣質
TEMPLE|寺廟
TEMPORARY|暫時的
TERMINAL|終點站
THEATER|劇院
THERAPY|治療
THUNDER|雷聲
TIDAL|潮汐的
TIDE|潮汐
TIMBER|木材
TOLERANCE|寬容
TORCH|火把
TORNADO|龍捲風
TRADITION|傳統
TRAGEDY|悲劇
TRANSACTION|交易
TRANSIT|過境
TREASURE|寶藏
TREATY|條約
TREK|艱苦跋涉
TSUNAMI|海嘯
TWILIGHT|微明
ULTIMATE|終極的
UNIVERSE|宇宙
UNIVERSITY|大學
URBAN|城市的
VACCINE|疫苗
VALLEY|山谷
VELOCITY|速度
VERDICT|判決
VESSEL|船隻
VIOLIN|小提琴
VIRTUAL|虛擬的
VIRUS|病毒
VOCALIST|歌手
VOCATION|天職
VOLCANO|火山
VOLUME|體積
VOYAGE|航程
WARRIOR|戰士
WATERFALL|瀑布
WAVE|海浪
WEATHER|天氣
WHALE|鯨魚
WHARF|碼頭
WHIRLPOOL|漩渦
WHISTLE|口哨
WILDERNESS|荒野
WISDOM|智慧
WITNESS|證人
WIZARD|巫師
YAR|敏捷
ZEPHYR|和風
